MRR,Date,XcoordGPS,YcoordGPS,ColMethod,variable,NumMoz,relSite
3,2014-09-04T00:00:00Z,-4.471876,11.235233,Swarm,Male Mark A,1,A
3,2014-09-04T00:00:00Z,-4.472021,11.235014,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.472097,11.234812,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.4712,11.234242,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.471267,11.234234,Swarm,Male Mark A,1,A
3,2014-09-04T00:00:00Z,-4.471189,11.234225,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.469892,11.233468,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.470154,11.233433,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.470131,11.233414,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.470768,11.233707,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.473378,11.233942,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.473276,11.233947,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.473294,11.233903,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.473264,11.233724,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.473288,11.233706,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.473371,11.233755,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.472766,11.233488,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.47334,11.232727,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.473301,11.232573,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.472665,11.23024,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.472725,11.230079,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.472715,11.230124,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.472609,11.230244,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.47297,11.230703,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.472196,11.232656,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.470902,11.232712,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.472529,11.233641,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.472641,11.233701,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.47276,11.233868,Swarm,Male Mark A,3,A
3,2014-09-05T00:00:00Z,-4.472669,11.233841,Swarm,Male Mark A,1,A
3,2014-09-05T00:00:00Z,-4.472935,11.234408,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.472745,11.23506,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.473061,11.235343,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.47303,11.23621,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.472979,11.236016,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.47255,11.235274,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.472071,11.235442,Swarm,Male Mark A,1,A
3,2014-09-05T00:00:00Z,-4.471876,11.235233,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.471267,11.234234,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.470131,11.233414,Swarm,Male Mark A,0,A
3,2014-09-05T00:00:00Z,-4.470768,11.233707,Swarm,Male Mark A,0,A
3,2014-09-06T00:00:00Z,-4.473436,11.233931,Swarm,Male Mark A,0,A
3,2014-09-06T00:00:00Z,-4.473294,11.233903,Swarm,Male Mark A,0,A
3,2014-09-06T00:00:00Z,-4.473073,11.233944,Swarm,Male Mark A,0,A
3,2014-09-06T00:00:00Z,-4.473288,11.233706,Swarm,Male Mark A,0,A
3,2014-09-06T00:00:00Z,-4.473303,11.233684,Swarm,Male Mark A,0,A
3,2014-09-06T00:00:00Z,-4.473371,11.233755,Swarm,Male Mark A,0,A
3,2014-09-06T00:00:00Z,-4.473449,11.233894,Swarm,Male Mark A,0,A
3,2014-09-06T00:00:00Z,-4.473011,11.233606,Swarm,Male Mark A,0,A
3,2014-09-06T00:00:00Z,-4.472873,11.233781,Swarm,Male Mark A,0,A
